-1.06287,4.93635,3.44283,A12-1,control
-0.295238,3.96933,-3.22078,A12-10,control
-2.19005,-0.763696,-1.53443,A12-11,control
-9.20699,9.05061,5.28514,A12-12,control
1.96807,5.71251,-3.14185,A12-13,control
1.44756,2.13331,-4.60257,A12-14,control
-4.10955,-4.00216,0.490105,A12-15,control
-2.79756,2.31801,-4.69127,A12-16,control
7.629,-4.81335,0.504744,A12-17,control
0.993596,-2.42313,1.34507,A12-18,control
1.89094,-3.77107,-0.0495871,A12-19,control
-3.28688,-3.94081,4.5591,A12-2,control
11.3903,-6.69533,-1.42707,A12-20,control
9.05803,-10.9622,7.65222,A12-21,control
2.35436,-1.5264,-3.8602,A12-22,control
-6.98584,3.42487,-3.06694,A12-23,control
-9.56004,6.48024,4.03756,A12-24,control
5.5915,-7.33866,1.57772,A12-25,control
-1.6012,-8.85501,3.00278,A12-26,control
0.826628,10.4973,-4.06011,A12-3,control
-0.0596347,4.22166,0.791714,A12-4,control
-2.23708,3.40108,-0.388869,A12-5,control
-1.53555,1.40769,-2.65361,A12-6,control
0.529694,0.776715,-2.73531,A12-7,control
-8.24704,0.783434,-0.725714,A12-8,control
13.639,-8.05558,6.2822,A12-9,control
